日,降水量,気温,湿度,風向・風速,日照時間(h),雪,,,,,,,,,,,
1,0,0,0,7.4,13.1,3.6,58,34,1.1,2.9,東南東,4.9,北北西,西,3.8,///,///
2,0,0,0,6.9,13.9,1.1,66,35,1.4,3.1,北北西,6.5,北北西,西,9.1,///,///
3,0,0,0,8.6,15.4,1.7,61,36,2.5,7,西南西,12.3,西,西南西,8.9,///,///
4,0,0,0,8.5,14.8,2.9,55,31,1.9,4.6,北北西,8.6,北北西,北西,9.1,///,///
5,0,0,0,7,10,2.3,72,55,1.5,3.3,西北西,5.9,北西,西,0,///,///
6,0.5,0.5,0.5,10.6,16,7.1,80,59,1.7,3.7,西北西,7.7,北西,西北西,6,///,///
7,0,0,0,12,19.6,5.3,59,30,3.3,10.9,南西,18.9,西南西,西南西,8.3 ),///,///
8,0,0,0,9.8,17.3,3.1,58,34,1.2,3.6,南東,6,南東,西,9.2,///,///
9,0,0,0,11.1,21,3.6,73,33,1.1,3.4,西南西,6.5,西南西,西,8.8,///,///
10,0,0,0,11.3,20.3,5.6,77,47,1.2,3,東南東,4.9,東南東,西南西,9.2,///,///
11,0,0,0,12.3,18.6,6.9,84,69,1.6,3.7,東北東,7.3,北北東,西,1.3,///,///
12,19,4,1.5,12.6,14.7,9.8,91,78,1.8,5,北北東,9.9,北北東,北北東,0.4,///,///
13,0,1.5,0.5,9.4,15.1,3.9,68,30,1.6,3.6,北,7.2,北,北,9.1,///,///
14,0,0,0,9.5,16.4,3.4,73,49,1,2,北北西,3.8,北,西,7.5,///,///
15,0,0,0,13.2,20.7,8.5,84,73,2.6,8.5,南西,15.5,南西,西,0.1,///,///
16,0,0,0,21.3,25.2,18.7,64,42,5.1,9.2,西南西,18,南西,西南西,4.6,///,///
17,0,0,0,11.5,18.7,4.8,33,22,3.8,9.2,西南西,18.2,西南西,北北西,5.2,///,///
18,0,0,0,6.7,11.5,2.6,37,21,2.1,5,北西,9.4,北西,北西,6.3,///,///
19,0,0,0,6.7,10.9,2.8,61,48,1.2,2.9,北北東,4.7,北東,西北西,1.6,///,///
20,0,0,0,8.3,13.7,4.9,66,43,1.1,3.1,西,6.6,西南西,西,4.9,///,///
21,0,0,0,8.6,11.7,1.4,41,19,5.5,10.7,西南西,19.3,西南西,西南西,9.2,///,///
22,0,0,0,4,10.2,-2.3,52,28,2,6.4,西南西,11.5,西南西,西南西,9,///,///
23,0,0,0,3.3,10.7,-2.9,57,24,1.2,3.5,西,6.1,北西,西,9.1,///,///
24,0,0,0,3.7,10.2,-1.6,68,45,1.2,2.9,西,4.8,北北西,西南西,2.2,///,///
25,0,0,0,5.3,13.6,-1.7,67,31,1.3,3.6,東南東,5.9,東南東,西,8.1,///,///
26,0,0,0,6.2,14.7,0.3,65,29,1.3,3.9,南南西,8.3,南南東,西,9.1,///,///
27,0,0,0,6.8,13.2,0.5,61,35,1.4,3.1,北北西,7.1,北,北北西,5.8,///,///
28,0,0,0,6.1,9.7,3,64,46,1.4,2.4,北,4.5,北北西,北北西,0.4,///,///
29,0,0,0,6.6,14.9,0.2,67,30,1.3,3.4,北西,6.5,北西,西南西,9,///,///
30,0,0,0,8.4,15.7,2.5,71,46,1.3,2.8,西北西,5.1,西北西,西,8.3,///,///
31,2,1,0.5,8.6,10.9,6.1,87,79,1.1,2.5,西南西,4.8,北西,西,0,///,///